prefecture,population_worldpop,superficie_km2,densite_worldpop_moyenne,densite_calculee,agents_mobile_money,agents_mm_pour_10000_hab,agences_moov,agences_togocom,agences_telecom,agences_canal,agences_telecom_total,datacenters,antennes_opencellid,antennes_pour_10000_hab
Golfe,1325059,152.0291060834056,8715.822916666666,8715.824450569693,2633,19.870813299634207,5,13,18,0,18,1,26,0.1962176778543446
Lome Commune,850789,129.90623058251947,6549.252403846154,6549.254767726933,3377,39.69256772243177,9,11,20,0,20,2,5,0.05876897797221168
Zio,562396,2264.6579543939265,248.3359257518797,248.3359568312866,1309,23.275414476632122,2,4,6,0,6,0,1,0.017781065299184204
Tone,415234,1237.7385960242543,335.4780210454854,335.47794448179525,1273,30.65741244695762,1,1,2,0,2,0,0,0.0
Haho,308979,2786.77421642499,110.87323328267478,110.87335248722566,423,13.690250793743264,1,2,3,0,3,0,0,0.0
Oti,296970,4421.330163712745,67.16763098873831,67.16756926169566,534,17.9816143044752,0,2,2,0,2,0,0,0.0
Blitta,278754,3215.483752722249,86.6912410808668,86.69115487335462,122,4.376618810851145,1,1,2,0,2,0,0,0.0
Kozah,236934,1073.7255957183818,220.66486899133176,220.6653179777074,1575,66.47420800729317,1,1,2,0,2,0,0,0.0
Dankpen,230082,2656.243020179989,86.61946708213486,86.61933349171096,201,8.736015855216836,0,1,1,0,1,0,0,0.0
Ogou,228841,2216.0074216256926,103.26731580967,103.26725342468356,430,18.790339143772314,0,1,1,0,1,0,0,0.0
Vo,221830,744.3469216910079,298.0192447613504,298.0196378001355,559,25.199477077040978,0,0,0,0,0,0,0,0.0
Anié,221628,2171.67582176038,102.05375246062992,102.05390591876937,297,13.400833829660511,1,1,2,0,2,0,0,0.0
Tchaoudjo,217307,2388.99814609859,90.96158439490446,90.96156075084376,1406,64.70109108312204,1,3,4,0,4,0,0,0.0
Tchamba,215896,3230.9223053116307,66.8218284800209,66.8217863503147,205,9.495312557898247,0,2,2,0,2,0,0,0.0
Kpendjal,190229,1825.1462129229144,104.22690436434823,104.22671819555444,168,8.831461028549802,0,0,0,0,0,0,0,0.0
Yoto,184372,1309.750989512381,140.76867874592833,140.76874266660528,169,9.166250840691646,0,1,1,0,1,0,0,0.0
Est-Mono,174249,2346.798090042477,74.24964874909355,74.24967692761592,163,9.354429580657564,0,0,0,0,0,0,0,0.0
Ave,172879,906.7830180218128,190.65061090225564,190.65090166459356,200,11.5687851040323,1,3,4,0,4,0,0,0.0
Kloto,170505,554.5449235755718,307.46742957746477,307.4683271837111,499,29.266003929503533,1,1,2,0,2,0,0,0.0
Lacs,167027,322.70032415269,517.5908933518006,517.5916709676713,544,32.569584558185205,0,0,0,0,0,0,0,0.0
Tandjouare,146093,946.2047081016253,154.39855812897366,154.39893582130554,158,10.815028783035464,0,0,0,0,0,0,0,0.0
Amou,134810,1786.9451705465492,75.44150450878026,75.44159844522116,196,14.538980787775387,0,0,0,0,0,0,0,0.0
Keran,115109,1701.1987100110566,67.66362674302789,67.6634653686352,133,11.554265956615033,0,2,2,0,2,0,0,0.0
Bassar,113148,3271.345244064317,34.5876277820911,34.58760588027236,427,37.738183617916356,1,2,3,0,3,0,0,0.0
Bas-Mono,107422,369.63704319940217,290.61470992476853,290.6148124933755,180,16.756344138072276,0,2,2,0,2,0,0,0.0
Wawa,100944,1209.4787897878762,83.46084416725229,83.46074429110412,233,23.082104929465842,0,0,0,0,0,0,0,0.0
Kpélé,92506,1030.5790581302788,89.7616123038811,89.7611874316837,273,29.51159924761637,1,1,2,0,2,0,0,0.0
Moyen-Mono,85000,587.6161252577414,144.6518540451895,144.65225909639074,79,9.294117647058824,0,1,1,0,1,0,0,0.0
Cinkassé,82572,242.81247690733684,340.06627933212997,340.06489720670936,410,49.65363561497844,1,1,2,0,2,0,0,0.0
Doufelgou,81730,1322.4249475006986,61.80341846446701,61.803129284928154,184,22.513153064970027,0,1,1,0,1,0,0,0.0
Agou,81301,1008.0988414515186,80.64752659574468,80.64784588278879,227,27.920935781847703,0,1,1,0,1,0,0,0.0
Sotouboua,70868,3186.2841969284923,22.241580623171057,22.24158161042734,361,50.93977535700175,1,2,3,0,3,0,0,0.0
Binah,67228,447.0241549470338,150.390447778828,150.39008352460414,194,28.857023859106324,0,0,0,0,0,0,0,0.0
Akébou,60550,1118.2023322078185,54.14977509469697,54.14941308559778,88,14.533443435177539,0,0,0,0,0,0,0,0.0
Assoli,52483,989.6563342836249,53.0315170940171,53.03154052764233,231,44.01425223405675,0,1,1,0,1,0,0,0.0
Danyi,31648,363.6372110349772,87.0321556645199,87.03179718578325,132,41.70879676440849,0,0,0,0,0,0,0,0.0
Plaine de Mô,22564,1256.2857390457084,17.961031919026244,17.960882065842696,26,11.522779648998405,0,0,0,0,0,0,0,0.0
