prefecture,population_worldpop,superficie_km2,densite_worldpop_moyenne,densite_calculee,agents_mobile_money,agents_mm_pour_10000_hab,agences_moov,agences_togocom,agences_telecom,agences_canal,agences_telecom_total,datacenters,antennes_opencellid,antennes_pour_10000_hab,score_population,score_deficit_mobile_money,score_deficit_antennes,score_priorite,rang_priorite,niveau_priorite
Blitta,278754,3215.483752722249,86.6912410808668,86.69115487335462,122,4.376618810851145,1,1,2,0,2,0,0,0.0,0.6172473998917024,1.0,1.0,0.846898959956681,1,Forte
Dankpen,230082,2656.243020179989,86.61946708213486,86.61933349171096,201,8.736015855216836,0,1,1,0,1,0,0,0.0,0.5701317707064976,0.9297976443083,1.0,0.7999717660059191,2,Forte
Haho,308979,2786.77421642499,110.87323328267478,110.87335248722566,423,13.690250793743264,1,2,3,0,3,0,0,0.0,0.6425231221936806,0.8500162066931617,1.0,0.7970157315547368,3,Forte
Tchamba,215896,3230.9223053116307,66.8218284800209,66.8217863503147,205,9.495312557898249,0,2,2,0,2,0,0,0.0,0.5545065329434683,0.9175701695784932,1.0,0.7888306810087846,4,Forte
Zio,562396,2264.6579543939265,248.3359257518797,248.3359568312866,1309,23.27541447663212,2,4,6,0,6,0,1,0.0177810652991842,0.7895790901962751,0.69565975249062,0.9615384615384616,0.7864032293824503,5,Forte
Kpendjal,190229,1825.1462129229144,104.22690436434824,104.22671819555444,168,8.831461028549802,0,0,0,0,0,0,0,0.0,0.5234303268613181,0.9282606253262743,1.0,0.780676380875037,6,Forte
Yoto,184372,1309.750989512381,140.76867874592833,140.76874266660528,169,9.166250840691646,0,1,1,0,1,0,0,0.0,0.5157518533096943,0.9228692757348633,1.0,0.775448451617823,7,Forte
Est-Mono,174249,2346.798090042477,74.24964874909355,74.24967692761592,163,9.354429580657564,0,0,0,0,0,0,0,0.0,0.501886785084032,0.9198389046302682,1.0,0.7686902758857201,8,Forte
Anié,221628,2171.67582176038,102.05375246062992,102.05390591876936,297,13.400833829660511,1,1,2,0,2,0,0,0.0,0.560940260865009,0.8546768862433323,1.0,0.7662468588433367,9,Forte
Oti,296970,4421.330163712745,67.16763098873831,67.16756926169566,534,17.9816143044752,0,2,2,0,2,0,0,0.0,0.6327897857818533,0.7809094415793589,1.0,0.765479690944485,10,Forte
Ave,172879,906.7830180218128,190.65061090225564,190.6509016645936,200,11.5687851040323,1,3,4,0,4,0,0,0.0,0.4999487296253267,0.8841796213629298,1.0,0.7536513403953027,11,Forte
